"Date","city","variable","type","value","seven_day_rolling_average","fourteen_day_rolling_average","diff_7","subtract_7","diff_14","subtract_14","seven_trend_direction","fourteen_trend_direction","thirty_days_ago","organism","category","cat2","numDaysDownward"
"2021-07-27","JS","N2","INFLUENT",0.000121707538601272,0.000113575295957377,7.10429381144614e-05,2.98361923453128,8.50647156858315e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-27","YC","N1","INFLUENT",0.000284210526315789,0.000107043043168149,6.3449707464862e-05,4.39086618912376,8.71866714065732e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-27","YC","N2","INFLUENT",0.000301754385964912,0.000124005846039676,7.59856095863958e-05,3.43426395383334,9.60404729065597e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-28","AA","N1","INFLUENT",5.61330561330561e-05,3.80186171594371e-05,2.38257290657106e-05,2.9467709754588,2.8385776187453e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-28","AA","N1","SOLID",2.24089635854342e-05,2.453141607147e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-28","AA","N2","INFLUENT",7.06860706860707e-05,4.13076900037888e-05,2.75074451882637e-05,2.01357599513489,2.76004896310503e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-28","AA","N2","SOLID",3.828197945845e-05,2.43090910072613e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-28","FL","N1","INFLUENT",2.75590551181102e-05,3.89169305410375e-05,2.24750286090956e-05,5.45054092572074,3.28838038638838e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-28","FL","N2","INFLUENT",0.000330708661417323,8.88929754509569e-05,4.87445803976361e-05,9.34097938683259,8.02967901066416e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-28","JS","N1","INFLUENT",2.37154150197628e-05,0.000124866660783735,7.28780813349833e-05,4.97748387988297,0.000103977158897503,,,"100% to 999%","None",,"SARS-CoV-2","low growth","not hbg",0
"2021-07-28","JS","N2","INFLUENT",0.000126482213438735,0.000128915670631046,7.62659759461948e-05,4.45876250390272,0.000105299389369701,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-28","YC","N1","INFLUENT",7.19257540603248e-05,0.000109381642954544,6.78286245382652e-05,3.16285898208143,8.3106036832558e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-28","YC","N2","INFLUENT",6.49651972157773e-05,0.00012518811101284,7.86418538319672e-05,2.90047620468742,9.30925143617452e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-29","AA","N1","INFLUENT",2.13114754098361e-05,3.58400758148231e-05,2.48963061258918e-05,1.56871400958194,2.18875393778625e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-29","AA","N2","INFLUENT",3.11475409836066e-05,4.32164013921866e-05,2.92805983608571e-05,1.81635567396762,2.78716060626591e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-29","FL","N1","INFLUENT",4.61538461538462e-05,4.00458562601271e-05,2.57717319057989e-05,2.48297296466733,2.85482487086565e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-29","FL","N2","INFLUENT",0,8.52499882014122e-05,4.8264119154843e-05,6.55879568044626,7.39717380931385e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-29","JS","N1","INFLUENT",0.000114232209737828,0.00013803784813127,8.10375248876853e-05,4.74267546510124,0.000114000646487169,,,"100% to 999%","None",,"SARS-CoV-2","low growth","not hbg",0
"2021-07-29","JS","N2","INFLUENT",0.000228464419475655,0.00014775199205735,9.16762804404721e-05,3.15027054172872,0.000112151423233755,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-29","YC","N1","INFLUENT",7.73881499395405e-05,0.000112127728931845,7.33563495339467e-05,2.24209413773567,7.75427587957969e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-29","YC","N2","INFLUENT",0.000140266021765417,0.000132762068101092,8.65108314974856e-05,2.29765037256441,9.25024732072131e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-30","AA","N1","INFLUENT",0,3.22432347795584e-05,2.4025225986519e-05,1.03977932262856,1.64360175860788e-05,,,"100% to 999%","None",,"SARS-CoV-2","none","not hbg",0
"2021-07-30","AA","N1","SOLID",0.000131188118811881,4.32725759017387e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-30","AA","N2","INFLUENT",2.24137931034483e-05,3.81299990151439e-05,2.92638633236967e-05,0.869325824061838,1.77322713828943e-05,,,"10% to 99%","None",,"SARS-CoV-2",,,
"2021-07-30","AA","N2","SOLID",1.48514851485149e-05,2.64307317427635e-05,,,,,,"None","None",,"SARS-CoV-2",,,
"2021-07-30","FL","N1","INFLUENT",2.18978102189781e-05,4.20031546754847e-05,2.73358612071545e-05,2.31554091523395,2.93345869366604e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-30","FL","N2","INFLUENT",4.37956204379562e-05,8.89694250009017e-05,5.13923777575542e-05,5.43990564752775,7.51540944866951e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-30","JS","N1","INFLUENT",0.000192156862745098,0.000161605730219727,9.40098139790688e-05,5.11820836970705,0.000135191832481317,,,"100% to 999%","None",,"SARS-CoV-2","low growth","not hbg",0
"2021-07-30","JS","N2","INFLUENT",0.000145098039215686,0.000163370943500588,0.000101663825546388,3.08869882794171,0.0001234142359084,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-30","YC","N1","INFLUENT",5.0561797752809e-05,0.000108016722471503,7.2783202331586e-05,1.8766347986686,7.04670402798333e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-30","YC","N2","INFLUENT",5.0561797752809e-05,0.000127470424096476,8.9112287469728e-05,1.51152707668846,7.67162732534953e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-31","AA","N1","INFLUENT",2.20820189274448e-05,2.63966474718647e-05,2.5602513052765e-05,0.0640214687808712,1.58826883819924e-06,,,"-9% to 9%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-31","AA","N2","INFLUENT",0,2.9128837574958e-05,2.92638633236967e-05,-0.00918577218384018,-2.7005149747738e-07,,,"-9% to 9%","None",,"SARS-CoV-2",,,
"2021-07-31","FL","N1","INFLUENT",4.22919508867667e-05,4.80448619450228e-05,2.89422876849221e-05,3.8827501239849,3.82051485202013e-05,,,"100% to 999%","None",,"SARS-CoV-2","low growth","not hbg",0
"2021-07-31","FL","N2","INFLUENT",3.27421555252387e-05,9.36468757902215e-05,5.23166759952126e-05,7.52383185324557,8.26603995900177e-05,,,"100% to 999%","None",,"SARS-CoV-2",,,
"2021-07-31","YC","N1","INFLUENT",0.000161111111111111,0.000115783799339703,8.28905786154329e-05,1.31579835862024,6.57864414485404e-05,,,"100% to 999%","None",,"SARS-CoV-2","low plateau","not hbg",0
"2021-07-31","YC","N2","INFLUENT",0.00011,0.000122518578189574,9.55688701027813e-05,0.785486365470704,5.38994161735846e-05,,,"10% to 99%","None",,"SARS-CoV-2",,,
